                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.76984,                 1.1968,                0.59292,                0.98239,                0.76995,                0.75502,                0.75352,                0.56668,                0.74229,                 0.6506,                 0.6448,                0.21271,                0.95981,                 1.1215,                0.90425,                 0.9589,              0.0081685,              0.0081685,              0.0081685
                     89,                0.76428,                 1.1682,                0.59714,                0.98439,                0.83892,                0.71888,                0.74437,                0.56066,                0.77189,                0.65233,                0.62287,                0.22461,                0.96808,                 1.1021,                0.95053,                0.95167,               0.008119,               0.008119,               0.008119
                     90,                0.76316,                 1.1947,                0.59202,                0.98001,                0.81211,                0.75502,                0.77192,                0.59725,                 0.7054,                0.67068,                0.61245,                0.20837,                0.93102,                 1.1228,                0.85818,                 0.9285,              0.0080695,              0.0080695,              0.0080695
                     91,                0.76195,                 1.1944,                 0.5913,                0.97677,                0.79182,                0.74847,                0.75933,                0.57611,                0.75215,                0.68249,                0.65864,                0.23184,                0.90561,                 1.0972,                0.90833,                0.91478,                0.00802,                0.00802,                0.00802
                     92,                0.77145,                 1.1998,                0.57942,                0.98076,                0.82531,                0.76305,                0.78126,                0.58977,                0.74797,                0.65555,                0.61776,                 0.2194,                 0.9192,                 1.0964,                0.90644,                0.91075,              0.0079705,              0.0079705,              0.0079705
                     93,                0.76295,                 1.1909,                0.58263,                0.97864,                0.80544,                0.71491,                0.74812,                0.56743,                0.76364,                 0.6506,                0.64818,                0.22599,                0.96788,                 1.1273,                0.89836,                0.92949,               0.007921,               0.007921,               0.007921
                     94,                0.76146,                   1.19,                0.58323,                0.97614,                0.80699,                0.81124,                0.78701,                0.58569,                0.72693,                0.72289,                 0.6503,                0.20722,                 0.9314,                 1.1507,                0.85079,                0.94086,              0.0078715,              0.0078715,              0.0078715
                     95,                0.75974,                 1.1979,                0.59082,                0.97917,                0.79515,                 0.7327,                0.75453,                0.57261,                0.70357,                 0.6747,                 0.6094,                0.20507,                0.96198,                 1.1435,                 0.9003,                0.93153,               0.007822,               0.007822,               0.007822
                     96,                 0.7616,                 1.1832,                0.57312,                 0.9839,                0.83014,                0.73896,                0.75395,                0.56668,                0.72261,                0.63052,                0.61822,                0.20559,                0.92318,                 1.1297,                0.89952,                0.91426,              0.0077725,              0.0077725,              0.0077725
                     97,                0.74837,                 1.1693,                0.57176,                0.97518,                0.81583,                0.73896,                0.77301,                0.57395,                 0.7341,                0.66527,                   0.64,                0.21992,                0.92864,                 1.1121,                0.87812,                0.96148,               0.007723,               0.007723,               0.007723
